asin,search_term,page_number,position,scrape_date,scrape_time,scrape_hour,title,price,original_price,sponsored,reviews_count,rating,sales_history,prime
B0B7KC6BYC,dry cat food,2,31,9/25/2025,23-33:56,23,"Edgard & Cooper New Hardlinesreales Free Cat Food Natural Food (New Turkey/Chicken, 2 kg (Pack of 1))",21.9,,FALSE,165,4.4,,FALSE
B0F59W5Q12,dry cat food,2,32,9/25/2025,23-33:56,23,IAMS Senior Dry Food for Cats Aged 7 Years and Up with Tuna 3 kg,15.79,,FALSE,71,4.7,,FALSE
B08C82SZQD,dry cat food,2,33,9/25/2025,23-33:56,23,PURINA PRO PLAN | Sterilised Adult 1+ Savoury Duo | Rich in Duck and Liver | Dry Food | Cat | 3kg Bag,26.21,,FALSE,178,4.6,,FALSE
B009E72ROC,dry cat food,2,34,9/25/2025,23-33:56,23,EUKANUBA - Premium Kitten Food – Rich in Fresh Chicken and Rice – Promotes Growth - 100% Complete and Balanced Food – DHA – Wheat Free – Non-GMO - Resealable Bag - 2kg,13.99,,FALSE,260,4.5,,FALSE
B0161HVD6A,dry cat food,2,35,9/25/2025,23-33:56,23,IAMS Lamb Dry Food for Adult Cats 3 kg,17.69,,FALSE,925,4.7,,FALSE
B01EJCCMIM,dry cat food,2,36,9/25/2025,23-33:56,23,WHISKAS Tuna food for adult cats 3.8 kg,35.25,,FALSE,11,4.7,,FALSE
B0B7KD9TJX,dry cat food,2,37,9/25/2025,23-33:56,23,"Edgard & Cooper Sterilized Cat Food, Adult, (Salmon, 4 kg), Fresh Fish and Quality Protein, Real Ingredients for Cats, Dry Cat Food",32.99,36.99,FALSE,24,4.5,,FALSE
B08C82SM7G,dry cat food,2,38,9/25/2025,23-33:56,23,PURINA PRO PLAN | Sterilised Kitten <1 Healthy Start | Rich in Salmon | Dry Food | Kitten | 1.5kg Bag,16.19,17.99,FALSE,44,4.4,,FALSE
B009E6VP1Y,dry cat food,2,39,9/25/2025,23-33:56,23,"EUKANUBA - Sterilized or Overweight Cat Premium Dry Food – Adult, Senior – Complete and Balanced Food - Rich in Rice - Fresh Chicken – Non-GMO, Wheat Free - Resealable Bag – 10kg",48.99,,FALSE,13,4.3,,FALSE
B0B7KF5VSX,dry cat food,2,40,9/25/2025,23-33:56,23,"Edgard & Cooper Sterilized Cat Food, Adult, (Chicken, 4 kg), Fresh Meat and Quality Protein, Real Ingredients for Cats, Dry Cat Food",32.99,,FALSE,72,4.5,,FALSE
B000VJZU50,dry cat food,2,42,9/25/2025,23-33:56,23,IAMS Adult Cat Food Fish 10 kg,38.89,44.16,FALSE,954,4.6,,FALSE
B009FYKGFG,dry cat food,2,43,9/25/2025,23-33:56,23,Pro Plan Sterilised Rich in Turkey 1.5 kg Adult Cat Food,15.29,,FALSE,445,4.6,,FALSE
B0C63FCQ6Y,dry cat food,2,44,9/25/2025,23-33:56,23,PERFECT FIT Adult Dry Cat Food for Adult Cats from 1 Year - Chicken - 7kg (1 Bag),36.49,,FALSE,406,4.8,,FALSE
B015KDIQ5W,dry cat food,2,45,9/25/2025,23-33:56,23,PURINA PRO PLAN | Sterilised Senior 7+ Longevis | Turkey Rich | Dry Food | Cat | 1.5 kg Bag,15.29,17.99,FALSE,124,4.6,,FALSE
B0B7KDBKJG,dry cat food,2,46,9/25/2025,23-33:56,23,"Edgard & Cooper New Hardlinesreales Free Cat Food Natural Food (New Salmon, 2 kg (Pack of 1))",20.49,,FALSE,130,4.6,,FALSE
B0B7KDYG3T,dry cat food,2,47,9/25/2025,23-33:56,23,"Edgard & Cooper Dry Food for Sterilized Cat and Kitten (Duck & Chicken, 2 kg) - Fresh Meat and Quality Protein, Real Ingredients for Active Cat",20.9,,FALSE,178,4.4,,FALSE
B0C63QYTXD,dry cat food,2,48,9/25/2025,23-33:56,23,"PERFECT FIT Adult Dry Food for Adult Cats from 1 Year - Salmon, 7 kg (1 Bag)",38.99,,FALSE,200,4.8,,FALSE
B0CQKCX3J5,dry cat food,2,49,9/25/2025,23-33:56,23,Ultima Adult Sterilized Cat Food with Chicken - 10 kg,47.27,,FALSE,286,4.6,,FALSE
B0CQKD7SVR,dry cat food,2,50,9/25/2025,23-33:56,23,Ultima Sterilized Adult Salmon - Dry Cat Food - 10 kg,45.99,,FALSE,194,4.6,,FALSE
B00359ZUUI,dry cat food,2,51,9/25/2025,23-33:56,23,PURINA PRO PLAN Light - Rich in Turkey - 3 kg - Adult Cat Food,25.28,27.49,FALSE,461,4.5,,FALSE
B09P92DTX4,dry cat food,2,52,9/25/2025,23-33:56,23,Whiskas Senior 7+ Chicken Food 5 x 800g (5 Packs) - Dry Food for Senior Cats - Various Product Packaging Available,20.99,,FALSE,349,4.8,,FALSE
B007R0RMAC,dry cat food,2,53,9/25/2025,23-33:56,23,Pro Plan Adult - Rich in Chicken - 1.5 kg - Adult Cat Food,14.62,16.9,FALSE,2,5,,FALSE
B007R0RP3Q,dry cat food,2,54,9/25/2025,23-33:56,23,Pro Plan Cat Junior - Rich in Chicken - 1.5 kg - Kitten Food,17.99,24.55,FALSE,642,4.5,,FALSE
B07M815XYD,dry cat food,2,55,9/25/2025,23-33:56,23,almo nature Holistic Functional Intestinal Help with Fresh Lamb - Dry Food for Adult Cats with Intestinal Sensitivities. 2 kg,16.99,18.99,FALSE,223,4.4,,FALSE
B07QG19FDY,dry cat food,2,56,9/25/2025,23-33:56,23,Advance Veterinary Diets Weight Balance - Dry Food for Cats with Overweight Problems - 3 kg,28.27,32.51,FALSE,13,4.6,,FALSE
B01LZ42BSM,dry cat food,2,57,9/25/2025,23-33:56,23,IAMS Naturally Adult Cat Food with New Zealand Lamb & Rice 2.7 kg,16.6,,FALSE,624,4.7,,FALSE
B002NSH1IG,dry cat food,2,58,9/25/2025,23-33:56,23,IAMS Multicat Chicken/Salmon Cat Food 15 kg,60.99,71.82,FALSE,844,4.5,,FALSE
B0091P1XHY,dry cat food,2,59,9/25/2025,23-33:56,23,Pro Plan Delicate - Rich in Turkey - 10 kg - Adult Cat Food,50.99,,FALSE,323,4.6,,FALSE
B08YGKDM97,dry cat food,2,60,9/25/2025,23-33:56,23,"Wellness CORE Ocean Sterilised Dry Cat Food, Natural and Grain Free, Salmon, 4 kg",33.59,41.99,FALSE,179,4.4,,FALSE
B009FYKI54,dry cat food,2,61,9/25/2025,23-33:56,23,PURINA PRO PLAN Sterilised Rich in Turkey Adult Cat Food 10kg,52.81,62.13,FALSE,13,4.6,,FALSE
B08P92R8M5,dry cat food,2,62,9/25/2025,23-33:56,23,"mera Cats Senior Cat Food for Sensitive Cats, Grain Free and Durable, High Meat 2 kg",14.49,,FALSE,321,4.5,,FALSE
B006UAB1CU,dry cat food,2,63,9/25/2025,23-33:56,23,"PURINA PRO PLAN Pro Plan Kat Original Adult Cat Dry Food Rich in Salmon - Adult Cat Food 10 kg, 1 Pack",54.99,,FALSE,602,4.6,,FALSE
B00AA9VUUU,dry cat food,3,7,9/25/2025,23-33:56,23,Advance Cat Sensitive Sterilized - Dry Food for Adult Cats Sterilized with Digestive Sensitivities to Salmon - 3 kg,24.45,29.99,FALSE,16,4.6,,FALSE
B00359VLQU,dry cat food,3,8,9/25/2025,23-33:56,23,Pro Plan Delicate with OPTI Renal Rich in Turkey 3 kg Adult Cat Food,24.42,27.72,FALSE,712,4.6,,FALSE
B00435DYQA,dry cat food,3,14,9/25/2025,23-33:56,23,JOSERA SensiCat 10kg | Ultra Digestible Cat Food | Super Premium Food Suitable for Adult Cats with Difficult Digestion | 10kg Bag,54.44,,FALSE,12,4.7,,FALSE
B08P91WG55,dry cat food,3,15,9/25/2025,23-33:56,23,MERA Cats Sensitive Adult Grain-Free and Sustainable High Meat Chicken Dry Cat Food (2kg),15.62,,FALSE,834,4.5,,FALSE
B07KD8QH6V,dry cat food,3,22,9/25/2025,23-33:56,23,Advance Adult Chicken/Rice Dry Cat Food 10 kg,54.44,60.49,FALSE,823,4.6,,FALSE
B09VXQBBWS,dry cat food,3,28,9/25/2025,23-33:56,23,Royal Canin Gastrointestinal Fibre Response | Double Pack | 2 x 400 g | Dry Food for Adult Cats | For Better Digestion | Suitable Energy Content,22.99,24.65,FALSE,290,4.6,,FALSE
B0763DZ8SJ,dry cat food,3,29,9/25/2025,23-33:56,23,Grain Free Adult Cat Food with Chicken and Herbs Lily's Kitchen,24.94,,FALSE,11,4.6,,FALSE
B06XJ17N9C,dry cat food,3,30,9/25/2025,23-33:56,23,"Wellness Core Original Kitten, Natural and Cereal Free Kitten Food, Turkey/Salmon, 1.75 kg",21.98,22.99,FALSE,1,4.4,,FALSE
B07V37K5RQ,dry cat food,3,31,9/25/2025,23-33:56,23,"JOSERA DailyCat GRAIN FREE 10kg | Cat Food | Poultry, Herbs & Fruit | Grain Free | Super Premium Adult Cat Food | 10kg Bag",52.38,,FALSE,243,4.7,,FALSE
B00SVG00U0,dry cat food,3,32,9/25/2025,23-33:56,23,affinity ADVANCE VETERINARY DIETS Veterinary Diets Urinary - Cat Food for Urinary Protection - 3 kg,28.85,33.99,FALSE,11,4.6,,FALSE
B0BPP6TL77,dry cat food,3,33,9/25/2025,23-33:56,23,Almo Nature Holistic Kitten Dry Cat Food with Fresh Chicken - 2kg Bag,14.24,18.99,FALSE,138,4.6,,FALSE
B01NCT0O5B,dry cat food,3,36,9/25/2025,23-33:56,23,NUTRIVET - INNE Cat - Cereal-free dry food - Sterilized or overweight cat - Chicken - 80% ingredients of animal origin - 1.5 kg,17.03,19.31,FALSE,175,4.2,,FALSE
B00GUYK014,dry cat food,3,40,9/25/2025,23-33:56,23,PURINA ONE Bifensis Junior | Chicken Kitten Dry Food | 1.5 kg Bag | Pack of 6,55.38,,FALSE,339,4.6,,FALSE
B07DNS92C2,dry cat food,3,41,9/25/2025,23-33:56,23,Sanabelle Adult Trout Dry Food for Adult Cats (from 12 months) 1 x 10 kg,,,FALSE,910,4.6,,FALSE
B0B88XX1LQ,dry cat food,3,43,9/25/2025,23-33:56,23,"Edgard & Cooper Cat food, (fresh chicken, 2 kg), crunchy cat sterilized or active, fresh meat and natural ingredients, grain-free, no added sugar",25.58,,FALSE,100,4.6,,FALSE
